201,977625.32,538109.81,112
202,977619.83,538108.27,112
203,977614.34,538106.73,112
204,977608.86,538105.19,112
205,977603.37,538103.65,112
206,977597.88,538102.11,112
207,977592.39,538100.57,112
208,977586.9,538099.03,112
209,977581.42,538097.49,112
210,977575.93,538095.95,112
211,977570.44,538094.41,112
212,977564.95,538092.87,112
213,977559.46,538091.33,112
214,977678.81,538119.62,112
215,977673.32,538118.08,112
216,977667.83,538116.54,112
217,977662.34,538115,112
218,977656.86,538113.46,112
219,977651.37,538111.92,112
220,977645.88,538110.38,112
221,977640.39,538108.84,112
222,977634.9,538107.3,112
223,977629.42,538105.76,112
224,977623.93,538104.22,112
225,977618.44,538102.68,112
226,977612.95,538101.14,112
227,977607.46,538099.6,112
228,977601.97,538098.06,112
229,977596.49,538096.53,112
230,977591,538094.99,112
231,977585.51,538093.45,112
232,977580.02,538091.91,112
233,977574.53,538090.37,112
234,977569.05,538088.83,112
235,977563.56,538087.29,112
236,977671.93,538112.5,112
237,977666.44,538110.96,112
238,977660.95,538109.42,112
239,977655.46,538107.88,112
240,977649.97,538106.34,112
241,977644.49,538104.8,112
242,977639,538103.26,112
243,977633.51,538101.72,112
244,977628.02,538100.18,112
245,977622.53,538098.64,112
246,977617.05,538097.1,112
247,977611.56,538095.56,112
248,977606.07,538094.02,112
249,977600.58,538092.48,112
250,977595.09,538090.94,112
251,977589.6,538089.4,112
252,977584.12,538087.86,112
253,977578.63,538086.32,112
254,977573.14,538084.78,112
255,977567.65,538083.24,112
256,977665.05,538105.37,112
257,977659.56,538103.83,112
258,977654.07,538102.29,112
259,977648.58,538100.75,112
260,977643.09,538099.21,112
261,977637.6,538097.67,112
262,977632.12,538096.13,112
263,977626.63,538094.59,112
264,977621.14,538093.06,112
265,977615.65,538091.52,112
266,977610.16,538089.98,112
267,977604.68,538088.44,112
268,977599.19,538086.9,112
269,977593.7,538085.36,112
270,977588.21,538083.82,112
271,977582.72,538082.28,112
272,977577.23,538080.74,112
273,977571.75,538079.2,112
274,977662.23,538099.49,112
275,977658.16,538098.25,112
276,977652.68,538096.71,112
277,977647.19,538095.17,112
278,977641.7,538093.63,112
279,977636.21,538092.09,112
280,977630.72,538090.55,112
281,977625.23,538089.01,112
282,977619.75,538087.47,112
283,977614.26,538085.93,112
284,977608.77,538084.39,112
285,977603.28,538082.85,112
286,977597.79,538081.31,112
287,977592.31,538079.77,112
288,977586.82,538078.23,112
289,977581.33,538076.69,112
290,977575.84,538075.15,112
291,977660.51,538093.49,112
292,977656.77,538092.66,112
293,977651.28,538091.12,112
294,977645.79,538089.59,112
295,977640.31,538088.05,112
296,977634.82,538086.51,112
297,977629.33,538084.97,112
298,977623.84,538083.43,112
299,977618.35,538081.89,112
300,977612.86,538080.35,112
301,977607.38,538078.81,112
302,977601.89,538077.27,112
303,977596.4,538075.73,112
304,977590.91,538074.19,112
305,977585.42,538072.65,112
306,977579.94,538071.11,112
